City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,North Bend,US,2022-06-07 01:45:07,43.4065,-124.2243,65.91,79,20,11.5
259,High Level,CA,2022-06-07 01:45:49,58.5169,-117.136,73.51,33,40,9.22
260,Bodden Town,KY,2022-06-07 01:45:50,19.2833,-81.25,82.99,81,75,9.22
261,Leh,IN,2022-06-07 01:45:50,34.1667,77.5833,51.93,45,17,4.99
262,Kamenka,RU,2022-06-07 01:45:51,51.3223,42.7678,51.6,93,0,7.49
263,Dehloran,IR,2022-06-07 01:45:51,32.6941,47.2679,94.93,11,7,5.44
264,Careiro Da Varzea,BR,2022-06-07 01:45:51,-3.2003,-59.8119,75.81,94,100,3.74
265,Vaasa,FI,2022-06-07 01:45:52,63.096,21.6158,53.94,76,0,9.22
266,Luderitz,NA,2022-06-07 01:45:52,-26.6481,15.1594,69.69,31,0,14.83
267,Nigde,TR,2022-06-07 01:45:52,37.8333,34.75,56.37,77,45,2.01
268,Axim,GH,2022-06-07 01:45:53,4.8699,-2.2405,76.86,81,100,4.68
269,Mana,GF,2022-06-07 01:45:53,5.6592,-53.7767,76.24,89,100,8.12
270,Isiro,CD,2022-06-07 01:45:54,2.7739,27.616,64.2,98,40,2.33
271,Victoria,HK,2022-06-07 01:44:43,22.2855,114.1577,84.96,89,100,11.01
272,Bellefontaine,US,2022-06-07 01:45:54,40.3612,-83.7597,68.7,84,75,12.66
273,Yarada,IN,2022-06-07 01:45:55,17.65,83.2667,82.72,89,20,2.3
274,Tasiilaq,GL,2022-06-07 01:45:55,65.6145,-37.6368,37.56,65,100,4.36
275,Karema,TZ,2022-06-07 01:45:56,-6.8205,30.4389,65.23,77,0,7.07
276,Tadine,NC,2022-06-07 01:46:56,-21.55,167.8833,76.57,68,34,6.78
277,Vao,NC,2022-06-07 01:46:56,-22.6667,167.4833,73.72,73,58,10.54
278,Kavaratti,IN,2022-06-07 01:46:57,10.5669,72.642,83.12,76,100,14.83
279,Pinawa,CA,2022-06-07 01:46:57,50.1489,-95.8811,54.68,74,82,4.41
280,Sao Jose Da Coroa Grande,BR,2022-06-07 01:46:58,-8.8978,-35.1478,74.25,90,51,9.86
281,Oranjestad,AW,2022-06-07 01:45:41,12.524,-70.027,82.35,78,20,19.57
282,La Plata,AR,2022-06-07 01:45:01,-34.9215,-57.9545,50.04,78,1,3.76
283,Somerset East,ZA,2022-06-07 01:46:58,-32.7217,25.588,54.46,38,0,6.91
284,Pangnirtung,CA,2022-06-07 01:46:59,66.1451,-65.7125,34.23,82,52,1.61
285,Srednekolymsk,RU,2022-06-07 01:46:59,67.45,153.6833,48.42,42,28,14.38
286,Formosa,AR,2022-06-07 01:46:59,-26.1775,-58.1781,62.58,94,75,5.75
287,Grand-Santi,GF,2022-06-07 01:47:00,4.25,-54.3833,72.16,99,100,0.6
288,Kuzhener,RU,2022-06-07 01:47:00,56.8111,48.9128,51.82,93,100,11.18
289,Bezenchuk,RU,2022-06-07 01:47:01,52.982,49.4333,54.88,92,75,13.78
290,Tabou,CI,2022-06-07 01:47:01,4.423,-7.3528,75.4,88,100,2.93
291,Shimoda,JP,2022-06-07 01:47:02,34.6667,138.95,66.56,88,100,11.16
292,Krasnoye-Na-Volge,RU,2022-06-07 01:47:02,57.5125,41.2419,43.9,93,8,8.01
